STATION,NAME,DATE,TAVG,TMAX,TMIN
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/1/2020,10,22,2
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/2/2020,23,26,16
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/3/2020,20,25,16
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/4/2020,24,27,21
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/5/2020,26,29,16
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/6/2020,19,31,7
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/7/2020,13,23,-9
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/8/2020,-11,6,-29
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/9/2020,11,20,6
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/10/2020,6,15,-22
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/11/2020,-15,2,-33
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/12/2020,2,12,-3
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/13/2020,14,24,10
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/14/2020,21,24,-4
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/15/2020,0,3,-12
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/16/2020,-12,-5,-22
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/17/2020,-5,19,-21
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/18/2020,19,23,9
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/19/2020,12,16,-13
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/20/2020,-6,16,-30
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/21/2020,11,27,4
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/22/2020,21,26,17
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/23/2020,23,26,20
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/24/2020,21,24,17
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/25/2020,24,28,23
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/26/2020,23,24,18
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/27/2020,16,18,13
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/28/2020,15,19,13
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/29/2020,17,23,14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/30/2020,20,25,12
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",1/31/2020,21,30,15
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/1/2020,28,35,20
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/2/2020,29,34,20
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/3/2020,19,26,-8
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/4/2020,-1,12,-18
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/5/2020,10,32,-7
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/6/2020,21,24,6
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/7/2020,1,6,-23
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/8/2020,-9,13,-24
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/9/2020,9,16,-8
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/10/2020,12,27,-1
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/11/2020,21,30,8
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/12/2020,11,25,-21
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/13/2020,-16,-1,-29
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/14/2020,-5,23,-25
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/15/2020,20,26,-4
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/16/2020,-4,12,-28
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/17/2020,9,23,1
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/18/2020,12,16,-9
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/19/2020,-6,5,-22
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/20/2020,-4,25,-20
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/21/2020,23,38,12
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/22/2020,28,49,12
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/23/2020,26,38,16
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/24/2020,27,40,10
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/25/2020,21,28,6
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/26/2020,10,17,-6
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/27/2020,8,17,-14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/28/2020,0,24,-22
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",2/29/2020,16,39,-2
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/1/2020,31,44,17
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/2/2020,28,36,21
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/3/2020,29,32,17
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/4/2020,19,34,-1
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/5/2020,29,30,-2
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/6/2020,12,38,-10
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/7/2020,36,48,27
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/8/2020,38,51,22
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/9/2020,23,29,12
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/10/2020,20,32,9
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/11/2020,20,37,3
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/12/2020,31,38,25
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/13/2020,22,25,9
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/14/2020,15,27,2
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/15/2020,20,34,7
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/16/2020,28,30,14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/17/2020,20,32,9
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/18/2020,21,33,7
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/19/2020,29,31,18
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/20/2020,17,25,-8
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/21/2020,8,33,-14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/22/2020,23,32,14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/23/2020,32,45,20
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/24/2020,34,48,19
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/25/2020,35,39,25
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/26/2020,29,44,14
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/27/2020,33,51,17
USW00014918,"INTERNATIONAL FALLS INTERNATIONAL AIRPORT, MN US",3/28/2020,35,50,19
